model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),3.37,8030261248.0,128256.0,131072,2996.46,🧠,✓,✗,32.18 ± 6.27 / 50.19 ± 5.62@@32.181597449706786,35.54 ± 2.35 / 35.62 ± 2.50@@35.53700265010219,36.61 ± 1.95 / 37.38 ± 1.88@@36.60943930631837,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,68.45 ± 2.93 / 43.47 ± 3.30@@68.45421602866423,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),3.39,7111057408.0,64000.0,2048,1472.78,📝,✓,✗,34.39 ± 5.34 / 50.45 ± 6.08@@34.38774910770138,24.67 ± 1.69 / 24.58 ± 1.95@@24.667116423047737,29.03 ± 2.12 / 29.83 ± 2.15@@29.02788696311237,2.42 ± 1.83 / 35.49 ± 2.63@@2.417969567223074,5.11 ± 2.68 / 38.37 ± 3.31@@5.106557601094556,68.98 ± 2.23 / 42.52 ± 2.05@@68.98443260265176,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400
norallm/normistral-7b-warm (few-shot),3.39,7248023552.0,32768.0,2048,3174.78,🧠,✓,✗,27.05 ± 3.33 / 45.30 ± 3.46@@27.048163096728512,42.29 ± 4.36 / 31.45 ± 1.88@@42.28929078619455,46.29 ± 3.44 / 35.99 ± 4.20@@46.28921684374539,1.63 ± 2.58 / 38.29 ± 4.05@@1.628922888323176,2.57 ± 1.78 / 40.92 ± 4.00@@2.56815002156132,61.85 ± 3.07 / 39.18 ± 2.84@@61.850084374978564,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.39,3374295552.0,49155.0,4096,10246.27,📝,✓,✗,32.29 ± 1.15 / 51.91 ± 2.66@@32.29348447124627,44.89 ± 2.26 / 34.93 ± 2.45@@44.8930027989276,48.08 ± 1.68 / 34.39 ± 2.61@@48.08083496353223,7.49 ± 1.65 / 47.79 ± 3.81@@7.4927023111253,4.65 ± 1.91 / 45.75 ± 5.13@@4.6473426842556105,47.59 ± 2.41 / 26.37 ± 1.51@@47.58660614826516,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
HPLT/gpt-33b-nordic-prerelease (few-shot),3.41,33119034368.0,131072.0,4097,501.12,🧠,✓,✗,38.88 ± 4.12 / 54.92 ± 4.66@@38.88045126504294,31.38 ± 5.44 / 24.32 ± 2.75@@31.384530061454218,37.84 ± 4.65 / 29.35 ± 4.10@@37.84278626405361,3.41 ± 2.16 / 35.53 ± 2.75@@3.4056033081291917,3.11 ± 1.55 / 39.80 ± 4.20@@3.110864409980129,51.24 ± 2.87 / 30.39 ± 2.51@@51.24208770047225,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
dbmdz/bert-base-historic-multilingual-cased,3.41,111243522.0,32000.0,512,20046.97,🔍,✓,✗,25.68 ± 2.17 / 41.65 ± 2.77@@25.676617168644988,68.63 ± 1.64 / 64.83 ± 1.55@@68.62916983253436,67.70 ± 2.68 / 63.70 ± 2.54@@67.69665769957302,6.73 ± 5.40 / 48.20 ± 3.68@@6.7329653857158585,3.35 ± 2.61 / 47.52 ± 3.20@@3.3466629648919444,34.64 ± 1.94 / 22.57 ± 1.57@@34.64009444347323,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot),3.43,1444532224.0,64000.0,2048,4544.34,📝,✓,✗,35.58 ± 2.13 / 44.49 ± 2.52@@35.584032456728046,33.08 ± 2.22 / 34.51 ± 2.24@@33.08292662760518,38.28 ± 2.63 / 40.50 ± 2.72@@38.27933366838321,0.82 ± 1.46 / 34.78 ± 1.54@@0.8180745389804057,1.43 ± 1.70 / 34.19 ± 1.10@@1.4265476597486515,58.71 ± 1.63 / 36.06 ± 1.76@@58.70890687700521,9.3.1@@90301,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400
"merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)",3.43,7241732096.0,32000.0,4096,2916.56,🧠,✓,✓,28.12 ± 5.18 / 29.93 ± 5.00@@28.1205851587626,31.64 ± 3.37 / 25.99 ± 2.91@@31.640480195397892,45.31 ± 2.41 / 34.67 ± 2.18@@45.30820407665818,10.02 ± 2.92 / 46.90 ± 4.43@@10.01723851856674,6.99 ± 2.75 / 43.20 ± 5.24@@6.987236038576549,54.26 ± 3.30 / 36.22 ± 3.68@@54.25845558305265,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
dbmdz/bert-medium-historic-multilingual-cased,3.45,42129920.0,32000.0,512,24291.12,🔍,✓,✗,26.33 ± 1.84 / 40.67 ± 0.71@@26.332309582526086,69.65 ± 1.48 / 66.15 ± 1.66@@69.64557942974031,66.78 ± 1.28 / 62.75 ± 1.40@@66.78010656102876,6.62 ± 3.40 / 48.37 ± 4.02@@6.616091074711869,5.16 ± 3.07 / 45.99 ± 4.76@@5.162490487351508,27.15 ± 1.91 / 15.75 ± 1.30@@27.145300569146308,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
stabilityai/stablelm-2-1_6b (few-shot),3.46,1644515328.0,100352.0,4096,7258.53,🧠,✓,✗,33.71 ± 2.57 / 55.00 ± 1.41@@33.706864079561825,41.64 ± 3.64 / 39.43 ± 3.55@@41.63607378112085,42.37 ± 3.13 / 40.79 ± 3.10@@42.36535707386484,-0.19 ± 0.77 / 33.29 ± 0.30@@-0.19229521630305066,-0.01 ± 1.25 / 34.51 ± 2.09@@-0.014153992822661093,50.96 ± 3.46 / 30.14 ± 2.44@@50.95594519318033,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
ibm-granite/granite-3b-code-instruct-2k (few-shot),3.46,3482503680.0,49152.0,2048,9058.91,📝,✓,✗,26.21 ± 1.63 / 43.33 ± 1.46@@26.20861434962717,53.78 ± 2.43 / 49.41 ± 2.56@@53.7760647408436,55.14 ± 1.27 / 51.07 ± 1.78@@55.138239151809124,3.90 ± 1.45 / 43.86 ± 4.21@@3.899271218713603,2.42 ± 1.39 / 41.58 ± 3.89@@2.424271141049017,45.77 ± 1.85 / 24.86 ± 1.34@@45.767102942121234,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
Maltehb/aelaectra-danish-electra-small-uncased,3.47,13737984.0,32000.0,128,5995.22,🔍,✓,✗,33.41 ± 1.40 / 45.12 ± 1.87@@33.41386353595127,59.76 ± 3.01 / 55.95 ± 2.74@@59.75688808143757,51.44 ± 2.28 / 48.14 ± 1.95@@51.43922820051491,32.87 ± 1.49 / 65.82 ± 0.78@@32.87041237575201,20.09 ± 1.88 / 59.27 ± 1.08@@20.088105586019353,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),3.49,7241732096.0,32000.0,32768,5172.48,📝,✓,✗,32.19 ± 2.52 / 43.19 ± 4.63@@32.190166889382915,50.34 ± 3.17 / 45.09 ± 2.65@@50.342007075908626,52.06 ± 2.41 / 46.88 ± 2.39@@52.05966259850763,-0.22 ± 0.43 / 33.41 ± 0.30@@-0.21887682828821772,0.00 ± 0.00 / 33.86 ± 0.33@@0.0,40.19 ± 1.13 / 20.57 ± 0.64@@40.18826168590614,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.4.0@@120400
occiglot/occiglot-7b-eu5-instruct (few-shot),3.5,7241748480.0,32002.0,4096,4838.43,📝,✗,✗,29.10 ± 1.17 / 34.27 ± 1.06@@29.099707591430544,50.40 ± 1.97 / 37.49 ± 2.22@@50.39625199147662,52.35 ± 1.91 / 38.35 ± 2.37@@52.34657165733003,7.09 ± 2.15 / 38.81 ± 1.96@@7.086797209979364,2.24 ± 1.42 / 36.42 ± 1.35@@2.2374172001766097,36.61 ± 2.08 / 0.23 ± 0.09@@36.61286364213685,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
NorwAI/NorwAI-Mistral-7B-instruct (few-shot),3.5,7536586752.0,67993.0,4065,3027.1,📝,✗,✗,47.78 ± 3.12 / 64.33 ± 2.80@@47.78149833298057,27.49 ± 2.13 / 24.26 ± 1.41@@27.489895101211765,32.33 ± 2.92 / 29.29 ± 2.05@@32.33359392608824,3.92 ± 1.56 / 45.78 ± 2.36@@3.9158277060571693,4.27 ± 2.44 / 42.86 ± 3.51@@4.274371460037783,29.01 ± 1.18 / 2.46 ± 0.73@@29.006031189884954,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
birgermoell/roberta-swedish-scandi,3.52,124645632.0,50265.0,512,15384.84,🔍,✓,✗,29.68 ± 1.91 / 43.64 ± 2.18@@29.67918170877251,72.74 ± 2.03 / 69.79 ± 2.34@@72.73654235546364,69.74 ± 1.81 / 65.59 ± 2.06@@69.73995738597768,15.83 ± 10.06 / 55.51 ± 5.25@@15.830736552470784,8.70 ± 4.78 / 52.69 ± 2.75@@8.69772913903083,1.93 ± 2.12 / 1.04 ± 1.17@@1.930602712735611,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
LumiOpen/Viking-7B (few-shot),3.53,7550013440.0,131072.0,4096,1430.69,🧠,✓,✗,35.86 ± 3.52 / 52.28 ± 3.76@@35.85639850745257,22.37 ± 5.96 / 23.75 ± 3.97@@22.374375875961068,29.90 ± 4.44 / 26.84 ± 3.45@@29.90451919798911,1.03 ± 2.07 / 36.12 ± 2.97@@1.0275412881441155,2.92 ± 1.89 / 36.47 ± 2.72@@2.916585931864154,54.65 ± 3.56 / 34.39 ± 3.15@@54.64786734175798,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.53,1656850432.0,128000.0,4096,6288.34,📝,✓,✗,30.63 ± 1.48 / 37.24 ± 1.90@@30.627194874177803,31.43 ± 1.78 / 30.82 ± 2.35@@31.429590049562744,36.92 ± 1.75 / 37.80 ± 1.67@@36.91571414574242,0.98 ± 1.59 / 42.00 ± 2.28@@0.9806705580041772,1.67 ± 1.96 / 34.92 ± 1.93@@1.6692397025031662,55.11 ± 2.82 / 33.24 ± 2.51@@55.10978092265462,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
google/gemma-2-2b (few-shot),3.53,2614341888.0,256000.0,8193,5235.32,🧠,✓,✗,32.61 ± 1.86 / 47.91 ± 2.11@@32.60886524869812,20.47 ± 4.02 / 21.28 ± 2.58@@20.46934046237045,24.18 ± 4.24 / 24.41 ± 3.40@@24.18285537658101,3.22 ± 1.55 / 36.61 ± 2.49@@3.2174385573428075,3.91 ± 2.50 / 45.37 ± 4.56@@3.9113494747933464,63.31 ± 3.73 / 41.16 ± 3.73@@63.30697760613604,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.56,3374286336.0,49152.0,4096,10504.04,🧠,✓,✗,31.90 ± 1.50 / 53.03 ± 1.81@@31.897360826863864,40.08 ± 2.60 / 33.17 ± 1.81@@40.08155791988051,43.96 ± 1.65 / 32.96 ± 2.24@@43.96357725967206,-0.07 ± 0.97 / 35.01 ± 1.42@@-0.0668091701568756,1.27 ± 2.35 / 38.10 ± 4.51@@1.2734241416347236,43.13 ± 3.33 / 23.32 ± 2.39@@43.125646612287866,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
LumiOpen/Viking-13B (few-shot),3.57,14030361600.0,131072.0,4096,908.37,🧠,✓,✗,28.54 ± 3.59 / 38.38 ± 3.10@@28.539674037297697,33.92 ± 5.16 / 25.36 ± 2.95@@33.92079059316166,27.79 ± 4.52 / 24.23 ± 2.54@@27.788371487345938,5.19 ± 1.55 / 39.93 ± 2.61@@5.1913122294073455,2.85 ± 2.05 / 42.57 ± 3.24@@2.8461955723890897,53.76 ± 4.10 / 34.68 ± 3.41@@53.75627338207643,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
jjzha/dajobbert-base-uncased,3.57,110423808.0,31748.0,512,16243.43,🔍,✓,✗,33.31 ± 2.87 / 48.75 ± 3.38@@33.31385440214042,65.95 ± 0.72 / 62.62 ± 0.66@@65.9469623852987,55.29 ± 1.26 / 51.50 ± 1.21@@55.29400394093944,20.34 ± 4.81 / 58.57 ± 2.56@@20.339640941415134,8.07 ± 2.44 / 53.43 ± 1.32@@8.065045177510433,0.14 ± 0.16 / 0.00 ± 0.00@@0.13698626737123304,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
google/gemma-2b-it (few-shot),3.59,2506172416.0,256000.0,8192,6470.59,📝,✗,✗,20.88 ± 1.96 / 30.76 ± 1.03@@20.88074523518601,39.78 ± 2.67 / 31.15 ± 2.70@@39.775809461764894,43.58 ± 2.49 / 36.60 ± 2.76@@43.57972424818619,2.76 ± 1.35 / 44.34 ± 3.05@@2.7602199901064344,1.45 ± 1.35 / 39.55 ± 3.53@@1.4549670105591181,56.65 ± 0.92 / 32.42 ± 1.72@@56.65091168257536,15.0.0@@150000,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400
"mlabonne/NeuralBeagle14-7B (few-shot, val)",3.59,7241732096.0,32000.0,4096,2409.53,📝,✗,✓,27.35 ± 3.08 / 33.80 ± 2.02@@27.34818392444601,44.59 ± 3.21 / 36.08 ± 3.22@@44.58755543776457,50.88 ± 3.76 / 37.08 ± 3.35@@50.88319167427875,8.76 ± 4.52 / 43.47 ± 2.54@@8.757016518804623,7.93 ± 3.94 / 49.23 ± 2.46@@7.934519790126002,30.99 ± 1.76 / 2.61 ± 0.81@@30.98627246247754,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
Qwen/Qwen2.5-Math-7B (few-shot),3.6,7615616512.0,152064.0,4096,1522.74,🧠,✓,✗,27.21 ± 1.32 / 34.05 ± 1.33@@27.2076567340766,49.28 ± 1.08 / 29.20 ± 2.13@@49.281941866258165,49.53 ± 1.59 / 34.20 ± 2.37@@49.53387339277742,10.02 ± 2.53 / 47.17 ± 4.69@@10.017502664739396,7.25 ± 3.11 / 42.27 ± 4.81@@7.253893187955065,24.95 ± 4.50 / 3.04 ± 2.72@@24.95000806943238,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
meta-llama/Llama-3.2-1B-Instruct (few-shot),3.63,1235814400.0,128256.0,131073,7435.78,📝,✓,✗,27.43 ± 1.89 / 42.83 ± 3.08@@27.42841939252379,44.66 ± 0.68 / 41.13 ± 2.11@@44.66460494905717,47.78 ± 1.22 / 44.30 ± 1.57@@47.77830408187026,0.07 ± 1.51 / 34.07 ± 0.78@@0.07341694065687285,1.14 ± 1.23 / 33.17 ± 0.47@@1.1397960587574645,39.37 ± 4.69 / 18.00 ± 3.56@@39.37358978919968,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
infly/OpenCoder-8B-Base (few-shot),3.63,7771263040.0,96640.0,8192,2978.18,🧠,✓,✗,18.69 ± 3.02 / 31.08 ± 2.19@@18.688694600503965,57.85 ± 1.86 / 32.68 ± 2.80@@57.84824158242956,56.67 ± 1.53 / 35.26 ± 4.42@@56.67108755281271,2.87 ± 1.36 / 39.49 ± 2.67@@2.870574245260126,2.36 ± 1.70 / 41.98 ± 3.66@@2.3644550309464933,38.91 ± 3.68 / 6.09 ± 3.56@@38.910813551117855,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
HPLT/gpt-13b-nordic-prerelease (few-shot),3.65,14030361600.0,131072.0,4096,931.13,🧠,✓,✗,27.69 ± 2.70 / 38.32 ± 2.05@@27.691951014705552,42.21 ± 2.86 / 36.97 ± 4.26@@42.21195668451402,41.38 ± 2.49 / 35.64 ± 3.12@@41.382603249456515,1.72 ± 1.58 / 48.85 ± 1.78@@1.7211286868155848,0.19 ± 1.50 / 42.88 ± 3.03@@0.1877993725595145,42.57 ± 6.16 / 26.75 ± 4.33@@42.57372121383372,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
ibm-granite/granite-7b-instruct (few-shot),3.66,6738481152.0,32008.0,4096,3136.16,📝,✓,✗,21.50 ± 2.19 / 36.73 ± 3.30@@21.503593367072757,37.73 ± 2.53 / 31.57 ± 3.65@@37.734288424633334,40.07 ± 1.68 / 35.25 ± 2.70@@40.072961258904705,0.86 ± 1.18 / 44.09 ± 2.96@@0.8614360568871937,2.01 ± 1.11 / 41.46 ± 3.24@@2.0095214349758876,48.70 ± 1.69 / 27.03 ± 1.40@@48.69749065255371,13.0.0@@130000,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
tiiuae/Falcon3-3B-Instruct (few-shot),3.67,3227655168.0,131072.0,32768,6467.85,📝,✓,✗,15.50 ± 0.68 / 28.36 ± 0.54@@15.496402391091452,55.20 ± 1.43 / 37.33 ± 2.69@@55.19961556674539,49.99 ± 1.38 / 37.67 ± 3.52@@49.99459308751056,7.95 ± 2.14 / 53.04 ± 1.21@@7.9485746167837625,6.12 ± 1.30 / 50.75 ± 1.56@@6.116917508742947,42.31 ± 1.52 / 21.08 ± 1.30@@42.30652916223272,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
BSC-LT/salamandra-2b-instruct (few-shot),3.68,2253490176.0,256000.0,8192,10891.84,📝,✓,✗,21.09 ± 2.64 / 23.43 ± 2.78@@21.08923776539174,35.70 ± 2.94 / 35.05 ± 2.07@@35.697478068429916,34.31 ± 3.66 / 34.16 ± 3.62@@34.312673872423005,-1.16 ± 1.47 / 44.32 ± 3.65@@-1.1568250608113295,-1.04 ± 1.53 / 45.99 ± 3.22@@-1.0417090412088759,59.03 ± 0.73 / 34.39 ± 1.26@@59.0271137628161,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),3.68,7452725248.0,250680.0,4096,1253.66,📝,✗,✗,16.02 ± 6.40 / 30.81 ± 5.11@@16.020317609322998,37.36 ± 1.61 / 24.19 ± 1.65@@37.35853390193914,42.83 ± 1.41 / 28.06 ± 1.69@@42.83263929239568,-0.08 ± 0.82 / 33.74 ± 0.41@@-0.080992277574155,2.29 ± 1.78 / 35.36 ± 1.11@@2.287537114810544,56.15 ± 1.66 / 31.60 ± 1.36@@56.14805222015188,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
BSC-LT/salamandra-2b (few-shot),3.69,2253490176.0,256000.0,8192,7146.49,🧠,✓,✗,27.70 ± 4.59 / 49.98 ± 2.99@@27.703603233105095,32.98 ± 4.98 / 33.04 ± 5.30@@32.98137377248529,33.22 ± 4.41 / 32.35 ± 4.93@@33.22110338026002,0.70 ± 1.39 / 44.26 ± 3.90@@0.6976927417818644,2.31 ± 1.76 / 46.14 ± 3.50@@2.306635021790066,46.06 ± 6.12 / 27.52 ± 5.39@@46.062829099171225,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
jonfd/electra-small-nordic,3.69,21943424.0,96105.0,128,42753.05,🔍,✓,✗,15.88 ± 6.31 / 30.75 ± 4.87@@15.883866007518247,14.20 ± 11.86 / 14.72 ± 12.38@@14.199715806241544,23.63 ± 11.97 / 24.36 ± 12.74@@23.62714055620187,65.36 ± 1.61 / 81.17 ± 0.84@@65.36368216539621,54.95 ± 1.03 / 76.22 ± 0.53@@54.9536583862003,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"mlabonne/AlphaMonarch-7B (few-shot, val)",3.71,7241732096.0,32000.0,4096,2410.16,📝,✗,✓,23.44 ± 2.90 / 31.50 ± 2.03@@23.43873029557914,42.09 ± 3.16 / 32.37 ± 3.29@@42.08759997161723,52.46 ± 3.90 / 38.72 ± 3.71@@52.455323764449105,8.00 ± 3.42 / 39.75 ± 2.51@@7.999866571385902,7.15 ± 4.80 / 44.66 ± 2.65@@7.149331490858465,24.50 ± 1.59 / 0.37 ± 0.37@@24.501575062067946,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
google/gemma-2b (few-shot),3.71,2506172416.0,256000.0,8192,6087.12,🧠,✓,✗,31.39 ± 0.94 / 36.35 ± 0.82@@31.393615639493188,15.53 ± 5.69 / 15.49 ± 5.08@@15.533908882688404,19.78 ± 4.54 / 18.86 ± 4.22@@19.78384081657996,1.18 ± 1.00 / 33.34 ± 0.26@@1.182805894838812,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,53.15 ± 4.42 / 33.33 ± 3.73@@53.15475767184093,15.0.0@@150000,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
NbAiLab/nb-gpt-j-6B-alpaca (few-shot),3.74,6055077088.0,50400.0,1024,2606.86,📝,✗,✗,32.60 ± 1.84 / 47.47 ± 3.33@@32.601051658442934,23.82 ± 4.25 / 22.08 ± 2.50@@23.81987986853792,26.04 ± 6.38 / 24.47 ± 3.69@@26.038656278392207,0.34 ± 1.43 / 44.47 ± 2.44@@0.3380615238417017,2.26 ± 2.27 / 45.41 ± 3.25@@2.2636782842635714,42.76 ± 1.02 / 21.33 ± 0.98@@42.75625323207419,10.0.1@@100001,9.3.2@@90302,9.3.2@@90302,10.0.1@@100001,10.0.1@@100001,12.4.0@@120400
AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot),3.76,470607872.0,64000.0,2048,5854.62,📝,✓,✗,30.88 ± 2.75 / 46.07 ± 3.07@@30.882089057697804,24.38 ± 2.13 / 25.79 ± 2.29@@24.384113560869416,31.28 ± 1.60 / 33.48 ± 1.60@@31.27709203832331,-0.30 ± 1.46 / 34.93 ± 1.25@@-0.2991083610873529,0.45 ± 0.57 / 33.74 ± 1.25@@0.4468266422210003,42.69 ± 1.94 / 23.99 ± 1.59@@42.68865821368609,9.3.2@@90302,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400
dbmdz/bert-mini-historic-multilingual-cased,3.76,11548928.0,32000.0,512,47121.63,🔍,✓,✗,24.59 ± 1.57 / 40.34 ± 0.99@@24.587457402766177,61.55 ± 1.55 / 58.24 ± 1.47@@61.54622707731004,59.90 ± 1.56 / 56.03 ± 1.41@@59.89959601222337,3.45 ± 2.10 / 50.80 ± 1.16@@3.454223056113022,2.72 ± 1.56 / 48.79 ± 1.92@@2.721672244003371,7.49 ± 3.66 / 3.99 ± 2.02@@7.4937561351521875,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
sentence-transformers/distiluse-base-multilingual-cased,3.77,135324672.0,119547.0,512,19205.51,🔍,✓,✗,32.83 ± 1.48 / 43.32 ± 0.69@@32.83270092802121,63.79 ± 2.11 / 67.14 ± 1.91@@63.791047435385806,60.96 ± 1.11 / 64.65 ± 1.00@@60.956952486681985,1.09 ± 1.93 / 48.72 ± 1.29@@1.0867584855242518,0.18 ± 1.93 / 47.30 ± 1.44@@0.18090085535603678,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
sentence-transformers/distiluse-base-multilingual-cased-v2,3.77,134734080.0,119547.0,512,33246.61,🔍,✓,✗,32.83 ± 1.48 / 43.32 ± 0.69@@32.83270092802121,63.79 ± 2.11 / 67.14 ± 1.91@@63.791047435385806,60.96 ± 1.11 / 64.65 ± 1.00@@60.956952486681985,1.09 ± 1.93 / 48.72 ± 1.29@@1.0867584855242518,0.18 ± 1.93 / 47.30 ± 1.44@@0.18090085535603678,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),3.78,7452725248.0,250680.0,4096,1437.66,📝,✓,✗,10.69 ± 5.81 / 26.94 ± 3.14@@10.69428048021942,34.78 ± 2.34 / 27.42 ± 1.71@@34.779168651236645,39.00 ± 3.24 / 31.27 ± 2.29@@38.99693799627973,6.17 ± 1.50 / 50.50 ± 1.78@@6.169957864172613,5.90 ± 1.38 / 49.15 ± 2.88@@5.896713963313958,55.30 ± 2.29 / 31.25 ± 2.01@@55.29939605386308,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
AI-Sweden-Models/gpt-sw3-356m (few-shot),3.79,470607872.0,64000.0,2048,5757.63,🧠,✓,✗,34.21 ± 1.63 / 47.17 ± 2.76@@34.21085799923239,27.37 ± 4.07 / 27.94 ± 4.04@@27.370428299885436,31.22 ± 3.87 / 31.39 ± 3.99@@31.21695846005611,0.92 ± 1.55 / 40.71 ± 2.58@@0.9202008865692991,1.25 ± 2.30 / 43.49 ± 3.20@@1.2474475870566235,32.10 ± 4.23 / 18.52 ± 2.78@@32.100792549583346,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.2@@90302,9.3.2@@90302,12.5.1@@120501
