model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
<a href='https://huggingface.co/Geotrend/bert-base-en-no-cased'>Geotrend/bert-base-en-no-cased</a>,🔍,2.36@@2.36,110850818.0,33071.0,512.0,✓,✗,33.91 ± 1.43 / 54.87 ± 1.38@@33.909187525903015,62.66 ± 1.84 / 58.60 ± 1.78@@62.65935197538024,40.96 ± 4.05 / 69.68 ± 2.12@@40.96422066466238,44.63 ± 2.71 / 39.93 ± 2.55@@44.633122008422916,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Base'>tiiuae/Falcon3-10B-Base (few-shot)</a>,🧠,2.37@@2.37,10305653760.0,131072.0,32768.0,✓,✗,47.46 ± 1.41 / 64.35 ± 1.16@@47.459418516241755,49.86 ± 1.22 / 37.03 ± 2.95@@49.857431310407044,15.99 ± 2.58 / 55.09 ± 2.53@@15.991579722155464,63.58 ± 0.50 / 57.03 ± 0.66@@63.57609497829446,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/microsoft/infoxlm-large'>microsoft/infoxlm-large</a>,🔍,2.37@@2.37,558843906.0,250002.0,512.0,✓,✗,37.94 ± 10.08 / 55.77 ± 9.21@@37.94474636984306,74.42 ± 1.81 / 69.54 ± 1.52@@74.42315161534816,15.26 ± 10.94 / 48.92 ± 8.26@@15.257523813097452,50.10 ± 2.75 / 44.25 ± 2.55@@50.095959762715935,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.37@@2.37,278220290.0,251000.0,512.0,✓,✗,32.93 ± 5.43 / 47.64 ± 6.56@@32.93172671776324,58.34 ± 2.79 / 54.32 ± 1.98@@58.34139868863647,55.26 ± 1.90 / 75.77 ± 1.24@@55.25814811077826,38.47 ± 2.29 / 32.69 ± 2.31@@38.473700994648006,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/NbAiLab/nb-bert-ncc-male2female'>NbAiLab/nb-bert-ncc-male2female</a>,🔍,2.37@@2.37,177975035.0,119547.0,512.0,✓,✗,43.78 ± 1.76 / 61.92 ± 1.11@@43.778848525212,61.49 ± 2.47 / 58.12 ± 1.83@@61.49328437021292,42.73 ± 8.81 / 67.77 ± 4.17@@42.72957611151621,31.95 ± 0.93 / 26.76 ± 1.00@@31.9456050380918,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
"<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.6'>merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)</a>",🧠,2.37@@2.37,7241732096.0,32000.0,4096.0,✓,✓,50.28 ± 2.97 / 64.57 ± 2.54@@50.28417423501963,45.39 ± 3.29 / 33.49 ± 3.36@@45.38743918815777,17.95 ± 4.82 / 46.65 ± 4.51@@17.95209381040117,60.78 ± 1.28 / 56.34 ± 1.76@@60.77689078878723,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf (few-shot)</a>,📝,2.37@@2.37,68976653312.0,32000.0,4096.0,✓,✗,49.81 ± 1.55 / 59.92 ± 1.79@@49.806921493276725,48.27 ± 1.92 / 27.66 ± 1.60@@48.27329520238524,20.23 ± 2.67 / 52.63 ± 3.29@@20.228613905794962,61.42 ± 0.59 / 49.79 ± 1.04@@61.42473601541176,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/timpal0l/Llama-3-8B-flashback-v1'>timpal0l/Llama-3-8B-flashback-v1 (few-shot)</a>,🧠,2.38@@2.38,8030261248.0,128256.0,8192.0,✓,✗,50.25 ± 1.25 / 66.18 ± 1.01@@50.25434117647809,46.59 ± 4.16 / 31.16 ± 3.95@@46.58931992406987,14.46 ± 2.48 / 50.96 ± 4.22@@14.457965648904588,62.50 ± 0.92 / 56.86 ± 1.23@@62.49529455925715,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,📝,2.38@@2.38,3606752256.0,128256.0,131072.0,✓,✗,52.87 ± 1.61 / 67.19 ± 1.26@@52.86564164029933,45.78 ± 2.34 / 31.71 ± 2.46@@45.7779585818205,16.18 ± 2.39 / 43.28 ± 2.19@@16.17858882687628,61.02 ± 0.59 / 51.53 ± 0.94@@61.01918557467867,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (few-shot)</a>,📝,2.39@@2.39,7768117248.0,256000.0,8192.0,✓,✗,43.12 ± 2.22 / 58.35 ± 2.27@@43.12031196796366,46.58 ± 2.04 / 29.11 ± 2.01@@46.576474524445395,22.04 ± 2.77 / 51.42 ± 3.27@@22.035142361236186,63.98 ± 0.62 / 56.07 ± 0.67@@63.98126430080712,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.39@@2.39,8170835968.0,49152.0,4096.0,✓,✗,48.15 ± 1.76 / 65.79 ± 1.20@@48.14815949154047,45.96 ± 1.82 / 35.64 ± 2.91@@45.96000260436668,20.18 ± 2.20 / 54.99 ± 3.07@@20.178069918621038,63.67 ± 0.70 / 59.01 ± 0.67@@63.66810740950948,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B (few-shot)</a>,🧠,2.39@@2.39,33119034368.0,131072.0,4096.0,✓,✗,51.09 ± 1.38 / 66.11 ± 1.18@@51.08597177297194,37.05 ± 1.82 / 25.38 ± 2.47@@37.04638908912533,23.65 ± 4.21 / 56.47 ± 5.47@@23.650854823046124,64.64 ± 0.54 / 59.35 ± 0.52@@64.63544906739392,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/neph1/bellman-7b-mistral-instruct-v0.2'>neph1/bellman-7b-mistral-instruct-v0.2 (few-shot)</a>,📝,2.39@@2.39,7241732096.0,32000.0,32768.0,✗,✗,47.58 ± 1.41 / 63.81 ± 1.28@@47.57533580814162,46.11 ± 3.27 / 28.75 ± 2.13@@46.109530322955315,18.41 ± 2.11 / 57.44 ± 2.11@@18.406177062030288,60.80 ± 0.59 / 52.78 ± 1.15@@60.799667096540745,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400
<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,🧠,2.40@@2.40,11429893120.0,51200.0,1024000.0,✓,✗,43.08 ± 1.78 / 58.00 ± 2.55@@43.081451967208665,48.68 ± 1.63 / 36.66 ± 2.72@@48.6820662282086,17.00 ± 2.93 / 55.84 ± 3.23@@16.99665196041213,65.42 ± 0.48 / 59.88 ± 0.47@@65.42331496904926,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,2.41@@2.41,8019808256.0,131072.0,32768.0,✓,✗,46.27 ± 1.92 / 62.58 ± 2.02@@46.27210258098852,54.72 ± 1.98 / 33.61 ± 1.58@@54.716498882361265,9.37 ± 3.00 / 36.40 ± 1.42@@9.371809098316989,64.99 ± 0.45 / 57.72 ± 0.54@@64.99465880878127,15.6.1.dev0@@150601,15.8.1.dev0@@150801,15.8.1.dev0@@150801,14.0.3@@140003
"<a href='https://huggingface.co/KennethEnevoldsen/munin_mistral-7b'>KennethEnevoldsen/munin_mistral-7b (few-shot, val)</a>",🧠,2.42@@2.42,7241732096.0,32000.0,4096.0,✗,✓,49.06 ± 2.30 / 59.43 ± 2.61@@49.061778655921465,49.04 ± 2.23 / 36.77 ± 3.01@@49.043717726259246,7.04 ± 5.72 / 36.37 ± 2.61@@7.043787708443038,63.96 ± 1.30 / 60.11 ± 1.64@@63.95676749980079,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/NLPnorth/snakmodel-7b-instruct'>NLPnorth/snakmodel-7b-instruct (few-shot)</a>,📝,2.44@@2.44,6738415616.0,32000.0,4096.0,✗,✗,50.46 ± 1.30 / 64.72 ± 2.20@@50.45603013539074,35.82 ± 4.16 / 29.62 ± 3.38@@35.81622206723108,18.60 ± 3.80 / 52.87 ± 6.20@@18.599775127174535,64.68 ± 0.58 / 58.57 ± 0.74@@64.67615886435472,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt (few-shot)</a>,🧠,2.44@@2.44,4300079472.0,262144.0,,✓,✗,47.15 ± 2.98 / 62.69 ± 3.18@@47.15365563007305,35.63 ± 2.50 / 31.23 ± 1.89@@35.62707105482348,23.05 ± 4.05 / 55.41 ± 3.89@@23.05150023399298,65.23 ± 0.73 / 60.08 ± 1.35@@65.2280041497976,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,2.44@@2.44,8028033024.0,256000.0,8192.0,✗,✗,49.71 ± 1.27 / 66.50 ± 0.75@@49.7136811461384,46.93 ± 2.01 / 27.70 ± 1.43@@46.93268502835131,12.21 ± 1.88 / 51.95 ± 2.39@@12.21208589506876,62.12 ± 0.52 / 51.71 ± 1.03@@62.120293671244404,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B (few-shot)</a>,🧠,2.45@@2.45,8030261248.0,128256.0,8192.0,✓,✗,46.48 ± 1.17 / 55.20 ± 2.51@@46.477514781836824,36.72 ± 3.33 / 27.73 ± 2.57@@36.72400609506533,26.10 ± 3.17 / 59.19 ± 3.94@@26.098008218237723,64.11 ± 0.64 / 58.00 ± 0.91@@64.11445968957462,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,2.45@@2.45,277455362.0,250002.0,512.0,✓,✗,45.07 ± 1.23 / 63.33 ± 0.78@@45.07461529465996,65.10 ± 1.65 / 61.96 ± 1.26@@65.09917256381404,26.83 ± 11.38 / 60.41 ± 6.66@@26.83325698146636,35.05 ± 1.16 / 29.92 ± 1.25@@35.05196756693506,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,<9.2.0@@0
<a href='https://huggingface.co/Geotrend/bert-base-en-da-cased'>Geotrend/bert-base-en-da-cased</a>,🔍,2.46@@2.46,110589698.0,32731.0,512.0,✓,✗,33.67 ± 1.54 / 54.48 ± 1.19@@33.673757794449045,62.57 ± 1.98 / 59.39 ± 2.04@@62.56929921041314,35.79 ± 9.58 / 65.87 ± 5.46@@35.78987843616289,43.26 ± 2.39 / 38.77 ± 2.23@@43.25557448310828,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (few-shot)</a>,📝,2.46@@2.46,32234279936.0,100352.0,4096.0,✗,✗,56.24 ± 1.80 / 70.73 ± 1.38@@56.2376412050668,57.42 ± 1.84 / 29.69 ± 1.11@@57.42409944956772,30.52 ± 1.84 / 56.06 ± 2.43@@30.51656441567834,23.69 ± 0.75 / 0.00 ± 0.00@@23.689584436466337,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct (few-shot)</a>,📝,2.47@@2.47,33715603456.0,49152.0,8192.0,✓,✗,41.45 ± 1.37 / 55.47 ± 1.69@@41.44679472609846,51.91 ± 2.36 / 40.03 ± 2.52@@51.90745421929548,18.97 ± 2.01 / 58.48 ± 1.72@@18.966552166610622,57.50 ± 0.49 / 50.56 ± 0.59@@57.49646208692311,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/AI-Sweden-Models/bert-large-nordic-pile-1M-steps'>AI-Sweden-Models/bert-large-nordic-pile-1M-steps</a>,🔍,2.47@@2.47,368375810.0,64000.0,512.0,✓,✗,40.66 ± 2.01 / 59.87 ± 1.55@@40.65852738415575,62.10 ± 1.91 / 58.07 ± 2.15@@62.09756280481626,34.29 ± 12.20 / 65.66 ± 6.23@@34.29364411185129,36.36 ± 1.43 / 31.54 ± 1.61@@36.35804764437678,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/alpindale/Mistral-7B-v0.2-hf'>alpindale/Mistral-7B-v0.2-hf (few-shot)</a>,🧠,2.47@@2.47,7241732096.0,32000.0,32768.0,✓,✗,45.86 ± 1.63 / 61.89 ± 1.57@@45.85727450087617,43.65 ± 2.87 / 32.21 ± 2.13@@43.65176197906824,15.19 ± 3.67 / 46.19 ± 5.60@@15.18776783747405,64.43 ± 0.58 / 59.14 ± 0.90@@64.42999282577065,12.5.1@@120501,12.5.2@@120502,12.5.1@@120501,12.5.1@@120501
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,2.47@@2.47,277455362.0,250002.0,512.0,✓,✗,46.39 ± 1.25 / 63.97 ± 1.08@@46.38546231479947,61.17 ± 2.09 / 58.41 ± 2.11@@61.16676776066156,38.61 ± 1.86 / 67.08 ± 1.08@@38.60737153511244,25.77 ± 1.12 / 19.90 ± 1.09@@25.76919320640809,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k'>KBLab/megatron-bert-large-swedish-cased-110k</a>,🔍,2.48@@2.48,368506882.0,64128.0,512.0,✓,✗,39.20 ± 1.69 / 59.33 ± 1.23@@39.19878933802834,60.18 ± 2.71 / 57.15 ± 2.47@@60.17761304977471,26.68 ± 3.38 / 59.41 ± 2.16@@26.681094652208255,44.87 ± 0.79 / 39.34 ± 0.84@@44.87377305629097,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/timpal0l/njord-alpha'>timpal0l/njord-alpha (few-shot)</a>,🧠,2.48@@2.48,7241732096.0,32000.0,32768.0,✓,✗,39.37 ± 2.09 / 56.57 ± 1.90@@39.37115810320628,38.25 ± 3.75 / 28.14 ± 3.06@@38.253922381030506,29.76 ± 3.24 / 61.80 ± 2.22@@29.761260095203596,63.16 ± 0.90 / 57.02 ± 1.28@@63.16283626095526,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/AI-Nordics/bert-large-swedish-cased'>AI-Nordics/bert-large-swedish-cased</a>,🔍,2.48@@2.48,334168066.0,30592.0,512.0,✓,✗,38.46 ± 1.17 / 58.16 ± 0.95@@38.464084278516324,60.66 ± 1.45 / 56.95 ± 1.66@@60.65823178012053,32.29 ± 5.92 / 63.74 ± 3.44@@32.28682854234832,43.21 ± 1.09 / 37.68 ± 1.06@@43.2088526714414,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit'>ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot)</a>,📝,2.48@@2.48,7241748480.0,32002.0,32768.0,✗,✗,39.63 ± 1.90 / 46.93 ± 2.68@@39.62672969762152,45.37 ± 2.53 / 28.99 ± 2.18@@45.3715907634824,21.77 ± 3.54 / 47.96 ± 4.57@@21.77125593206893,64.76 ± 0.47 / 58.28 ± 0.73@@64.76172102655373,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,12.4.0@@120400
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3 (few-shot)</a>,🧠,2.49@@2.49,7248023552.0,32768.0,32768.0,✓,✗,47.42 ± 1.81 / 62.82 ± 2.03@@47.421821300889874,43.77 ± 1.35 / 31.66 ± 2.09@@43.77275341555082,12.57 ± 3.00 / 43.88 ± 4.51@@12.567948690693248,64.88 ± 0.57 / 59.70 ± 0.58@@64.8820285352156,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2'>sentence-transformers/paraphrase-multilingual-mpnet-base-v2</a>,🔍,2.50@@2.50,277455362.0,250002.0,512.0,✓,✗,49.13 ± 0.82 / 65.84 ± 0.66@@49.12988976279687,61.18 ± 1.22 / 57.94 ± 1.56@@61.18473870595796,29.66 ± 7.69 / 63.05 ± 4.35@@29.663357502958903,26.42 ± 1.77 / 19.99 ± 1.65@@26.42111247352968,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E (few-shot)</a>,📝,2.50@@2.50,108641793536.0,200000.0,,✓,✗,51.96 ± 1.65 / 64.76 ± 2.86@@51.958902909596624,59.83 ± 2.09 / 48.25 ± 3.17@@59.828710965967055,38.97 ± 8.55 / 64.45 ± 7.48@@38.96852148270165,16.16 ± 2.76 / 0.42 ± 0.54@@16.164495066545147,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,2.50@@2.50,277455362.0,250002.0,512.0,✓,✗,47.83 ± 1.46 / 65.49 ± 0.96@@47.829947913031226,70.36 ± 2.14 / 65.91 ± 2.15@@70.36121765354176,11.87 ± 5.47 / 48.82 ± 4.15@@11.870608664304356,35.11 ± 2.73 / 29.87 ± 3.18@@35.114090441669404,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/ltg/norbert2'>ltg/norbert2</a>,🔍,2.51@@2.51,125165498.0,50104.0,512.0,✓,✗,37.88 ± 3.32 / 58.47 ± 2.32@@37.87602772733975,56.50 ± 2.69 / 53.97 ± 2.15@@56.50111947371139,40.71 ± 2.69 / 68.17 ± 1.66@@40.70686349187375,37.94 ± 2.13 / 32.46 ± 1.70@@37.936647608498625,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B (few-shot)</a>,🤔,2.53@@2.53,2031739904.0,151936.0,40960.0,✓,✗,44.99 ± 1.37 / 61.57 ± 1.11@@44.987491903179084,39.82 ± 1.54 / 31.25 ± 1.51@@39.81681591551313,23.79 ± 1.09 / 61.75 ± 0.54@@23.790499039611028,57.46 ± 0.68 / 48.27 ± 0.73@@57.45621599030037,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,2.53@@2.53,278239490.0,250002.0,512.0,✓,✗,42.17 ± 1.64 / 61.25 ± 1.45@@42.17361360917086,60.01 ± 2.63 / 56.13 ± 2.46@@60.00559082369339,29.43 ± 13.02 / 62.08 ± 7.77@@29.433028018143855,34.82 ± 2.83 / 29.79 ± 3.33@@34.81551225408162,<9.2.0@@0,12.6.1@@120601,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/google-bert/bert-base-multilingual-cased'>google-bert/bert-base-multilingual-cased</a>,🔍,2.53@@2.53,177264386.0,119547.0,512.0,✓,✗,32.38 ± 1.72 / 53.30 ± 1.79@@32.37876922103461,63.17 ± 2.79 / 59.45 ± 2.58@@63.16576219856028,27.93 ± 11.48 / 61.91 ± 6.69@@27.932209341459334,44.06 ± 1.25 / 39.57 ± 1.18@@44.06458290880881,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/sarnikowski/electra-small-discriminator-da-256-cased'>sarnikowski/electra-small-discriminator-da-256-cased</a>,🔍,2.53@@2.53,13288066.0,28995.0,512.0,✓,✗,24.38 ± 1.74 / 40.85 ± 3.07@@24.38385390889007,60.63 ± 1.32 / 56.90 ± 1.49@@60.62910374272571,68.58 ± 1.38 / 84.12 ± 0.69@@68.58318611345044,27.53 ± 0.88 / 21.03 ± 1.09@@27.533168644731056,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/jonfd/electra-small-nordic'>jonfd/electra-small-nordic</a>,🔍,2.53@@2.53,21878146.0,96105.0,128.0,✓,✗,34.43 ± 4.13 / 51.90 ± 6.17@@34.42673891256402,65.40 ± 2.02 / 60.53 ± 1.65@@65.40252649764324,67.27 ± 1.04 / 83.37 ± 0.64@@67.26979324608654,7.09 ± 3.29 / 6.60 ± 2.98@@7.086473465794067,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://huggingface.co/birgermoell/Munin-NeuralBeagle-NorskGPT'>birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)</a>",🧠,2.54@@2.54,7241732096.0,32000.0,4096.0,✗,✓,44.53 ± 2.84 / 48.21 ± 2.59@@44.52800039880323,53.02 ± 2.51 / 39.46 ± 2.24@@53.017479104157,0.16 ± 2.81 / 34.10 ± 0.86@@0.16240598802045536,64.80 ± 1.37 / 58.45 ± 2.14@@64.8036869252125,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/bineric/NorskGPT-Llama3-8b'>bineric/NorskGPT-Llama3-8b (few-shot)</a>,📝,2.54@@2.54,8030261248.0,128256.0,8221.0,✗,✗,42.13 ± 0.57 / 45.91 ± 0.39@@42.134552758336966,51.40 ± 3.08 / 37.70 ± 3.28@@51.40487277679821,3.91 ± 2.02 / 34.38 ± 0.47@@3.9059827523533692,66.28 ± 0.48 / 57.81 ± 1.03@@66.27896338962513,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/flax-community/nordic-roberta-wiki'>flax-community/nordic-roberta-wiki</a>,🔍,2.54@@2.54,124057346.0,50265.0,512.0,✓,✗,34.45 ± 0.78 / 55.56 ± 0.68@@34.447948812142435,60.82 ± 2.03 / 57.64 ± 2.08@@60.8183506308997,41.89 ± 9.80 / 70.04 ± 5.10@@41.88748078443748,31.55 ± 1.26 / 26.83 ± 1.26@@31.54948648660948,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://huggingface.co/birgermoell/WestLake-Munin-Cat-NorskGPT'>birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)</a>",🧠,2.54@@2.54,7241732096.0,32000.0,4096.0,✗,✓,44.53 ± 2.84 / 48.21 ± 2.59@@44.52800039880323,53.02 ± 2.51 / 39.46 ± 2.24@@53.017479104157,0.16 ± 2.81 / 34.10 ± 0.86@@0.16240598802045536,64.80 ± 1.37 / 58.45 ± 2.14@@64.8036869252125,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/RuterNorway/Llama-2-13b-chat-norwegian'>RuterNorway/Llama-2-13b-chat-norwegian (few-shot)</a>,📝,2.54@@2.54,13015866880.0,32000.0,4096.0,✗,✗,44.45 ± 2.50 / 57.87 ± 3.63@@44.448070254060404,44.90 ± 2.19 / 33.14 ± 2.91@@44.898892454426765,10.59 ± 3.19 / 43.00 ± 3.17@@10.589064559379063,63.73 ± 0.71 / 57.51 ± 0.99@@63.729275884351566,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/sarnikowski/convbert-small-da-cased'>sarnikowski/convbert-small-da-cased</a>,🔍,2.54@@2.54,12948826.0,28995.0,512.0,✓,✗,29.52 ± 2.89 / 47.81 ± 4.54@@29.520169117079497,60.59 ± 1.84 / 57.31 ± 1.47@@60.58781674473634,57.10 ± 2.02 / 78.14 ± 1.10@@57.09709068656987,25.69 ± 0.60 / 20.16 ± 0.73@@25.686689790888344,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/google/gemma-7b'>google/gemma-7b (few-shot)</a>,🧠,2.54@@2.54,8537680896.0,256000.0,8192.0,✓,✗,47.32 ± 2.39 / 63.85 ± 1.87@@47.320083231753884,35.14 ± 2.33 / 23.70 ± 2.32@@35.135160556657766,14.54 ± 3.13 / 39.55 ± 2.28@@14.542464896992296,65.04 ± 0.53 / 59.61 ± 0.59@@65.043183596029,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/danish-foundation-models/munin-7b-alpha'>danish-foundation-models/munin-7b-alpha (few-shot)</a>,🧠,2.55@@2.55,7241732096.0,32000.0,32768.0,✓,✗,36.89 ± 2.27 / 43.77 ± 2.64@@36.88947213686406,40.60 ± 2.25 / 28.71 ± 1.42@@40.60140186351525,26.41 ± 5.40 / 53.03 ± 6.56@@26.41429653331698,63.44 ± 0.81 / 57.81 ± 1.11@@63.442471478595074,12.4.0@@120400,12.5.2@@120502,12.4.0@@120400,12.4.0@@120400
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1 (few-shot)</a>,📝,2.55@@2.55,7241732096.0,32000.0,4096.0,✓,✗,44.68 ± 1.81 / 62.78 ± 1.55@@44.68135394436384,42.08 ± 2.34 / 23.87 ± 1.98@@42.084784128382736,19.81 ± 1.46 / 59.18 ± 1.13@@19.81029659660896,57.87 ± 0.71 / 50.54 ± 0.79@@57.8731229036229,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1 (few-shot)</a>,🧠,2.55@@2.55,7241732096.0,32000.0,4096.0,✓,✗,45.24 ± 2.54 / 55.82 ± 4.31@@45.2355731861871,44.85 ± 0.89 / 30.54 ± 2.46@@44.85498888054721,6.48 ± 2.68 / 36.52 ± 2.36@@6.477407564423815,65.23 ± 0.64 / 60.44 ± 0.61@@65.22783948477954,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
