model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct (few-shot)</a>,📝,2.43@@2.43,8170848256.0,49155.0,4096.0,✓,✗,77.96 ± 0.94 / 78.25 ± 0.89@@77.96140459431736,46.70 ± 3.06 / 32.68 ± 2.60@@46.704858286652076,20.90 ± 1.73 / 55.09 ± 3.01@@20.895082588309364,62.43 ± 0.59 / 56.29 ± 0.79@@62.43337162159757,65.09 ± 0.37 / 19.37 ± 0.37@@65.09476644278038,26.57 ± 1.18 / 44.19 ± 0.95@@26.57244782389433,24.62 ± 2.11 / 42.11 ± 1.50@@24.62367391648066,15.3.1.dev0@@150301,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/mhenrichsen/hestenettetLM'>mhenrichsen/hestenettetLM (few-shot)</a>,🧠,2.44@@2.44,7241732096.0,32000.0,32768.0,✓,✗,79.70 ± 0.65 / 79.45 ± 0.68@@79.70143927311975,53.00 ± 2.53 / 39.09 ± 3.72@@52.99511463140387,4.32 ± 2.19 / 34.43 ± 0.87@@4.322075066447287,64.74 ± 0.84 / 59.03 ± 1.03@@64.73723974736455,64.89 ± 0.28 / 19.31 ± 0.40@@64.89466368919238,35.48 ± 0.99 / 51.54 ± 0.72@@35.481052085444574,20.54 ± 2.14 / 39.66 ± 1.80@@20.53892534078205,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302
<a href='https://huggingface.co/google/gemma-7b'>google/gemma-7b (few-shot)</a>,🧠,2.44@@2.44,8537680896.0,256000.0,8192.0,✓,✗,78.08 ± 2.39 / 79.68 ± 1.80@@78.07567793424026,41.72 ± 1.87 / 27.71 ± 3.92@@41.72462348618179,22.90 ± 3.22 / 46.12 ± 2.97@@22.89575985031845,63.99 ± 1.25 / 58.03 ± 2.08@@63.99010635204377,64.07 ± 0.61 / 18.40 ± 0.43@@64.06791977889952,36.17 ± 0.94 / 48.93 ± 0.77@@36.16918733937255,15.43 ± 1.49 / 31.60 ± 1.00@@15.433868974285952,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (few-shot)</a>,📝,2.45@@2.45,7768117248.0,256000.0,8192.0,✓,✗,78.53 ± 1.05 / 80.00 ± 0.75@@78.5332323378842,46.49 ± 2.94 / 29.35 ± 2.22@@46.49211862061839,23.85 ± 2.14 / 55.13 ± 1.63@@23.848239432376882,64.47 ± 0.45 / 56.69 ± 0.50@@64.47133403750247,65.81 ± 0.17 / 18.19 ± 0.20@@65.81263134154142,23.56 ± 0.72 / 41.28 ± 0.66@@23.556896473137613,15.90 ± 1.41 / 35.55 ± 1.11@@15.898183347988034,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B (few-shot)</a>,📝,2.45@@2.45,8028033024.0,256000.0,8192.0,✗,✗,76.21 ± 0.85 / 67.87 ± 1.71@@76.2126014998073,60.04 ± 1.22 / 43.93 ± 3.63@@60.03593187478694,7.54 ± 2.52 / 35.42 ± 1.33@@7.540404832686301,63.65 ± 0.30 / 58.60 ± 0.59@@63.65040763104177,63.00 ± 0.55 / 18.11 ± 0.35@@62.999407122260884,20.97 ± 0.82 / 39.72 ± 0.64@@20.96674392050618,28.96 ± 2.18 / 46.32 ± 1.64@@28.958315948344683,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B (few-shot)</a>,🧠,2.46@@2.46,8030261248.0,128256.0,8192.0,✓,✗,81.12 ± 1.02 / 77.04 ± 2.74@@81.11900771529159,36.45 ± 2.44 / 27.24 ± 2.29@@36.45480367476873,26.80 ± 2.07 / 59.15 ± 2.72@@26.798597516966836,64.72 ± 0.72 / 58.16 ± 0.82@@64.71621038795894,66.09 ± 0.31 / 20.48 ± 0.47@@66.0907243147085,29.01 ± 0.68 / 45.32 ± 0.67@@29.013450840985016,15.92 ± 1.74 / 35.28 ± 1.24@@15.924115183680316,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Instruct'>tiiuae/Falcon3-7B-Instruct (few-shot)</a>,📝,2.46@@2.46,7455550464.0,131072.0,32768.0,✓,✗,74.63 ± 0.50 / 70.89 ± 1.31@@74.62949082314418,53.61 ± 1.81 / 38.91 ± 2.41@@53.60877483229437,18.94 ± 1.54 / 58.59 ± 0.97@@18.936972161356426,60.29 ± 0.65 / 51.72 ± 0.88@@60.29046374506417,64.66 ± 0.17 / 17.58 ± 0.30@@64.66201034316327,24.73 ± 1.31 / 42.92 ± 1.25@@24.728821745556033,21.82 ± 1.03 / 41.03 ± 0.78@@21.822116906389475,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://huggingface.co/KennethEnevoldsen/munin_mistral-7b'>KennethEnevoldsen/munin_mistral-7b (few-shot, val)</a>",🧠,2.47@@2.47,7241732096.0,32000.0,32768.0,✗,✓,77.66 ± 2.09 / 78.59 ± 2.41@@77.65620270476892,52.34 ± 3.07 / 39.14 ± 4.60@@52.33591252612837,6.00 ± 4.15 / 36.34 ± 2.20@@5.999653158466213,64.12 ± 1.59 / 60.16 ± 1.81@@64.1207394172242,65.54 ± 0.49 / 19.31 ± 0.71@@65.53579811588861,31.83 ± 2.27 / 48.55 ± 1.67@@31.828933748736883,20.55 ± 3.93 / 38.95 ± 3.23@@20.5460899757284,12.3.1@@120301,12.5.2@@120502,12.3.1@@120301,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302
<a href='https://huggingface.co/Mabeck/Heidrun-Mistral-7B-base'>Mabeck/Heidrun-Mistral-7B-base (few-shot)</a>,🧠,2.48@@2.48,7241732096.0,32000.0,32768.0,✓,✗,79.43 ± 0.85 / 78.21 ± 1.69@@79.43367668261061,48.43 ± 2.75 / 35.31 ± 2.80@@48.430626866962726,17.37 ± 2.57 / 52.91 ± 4.93@@17.367376582778498,62.72 ± 0.89 / 57.05 ± 1.22@@62.718068595686375,63.81 ± 0.34 / 18.13 ± 0.31@@63.80548448491027,31.72 ± 0.55 / 48.70 ± 0.45@@31.71636439527166,15.69 ± 2.43 / 35.96 ± 2.03@@15.690277993683493,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,🧠,2.48@@2.48,11429893120.0,51200.0,1024000.0,✓,✗,78.60 ± 1.86 / 80.07 ± 1.29@@78.6017816283643,60.51 ± 1.89 / 52.51 ± 2.42@@60.51280307047252,17.47 ± 3.85 / 54.83 ± 4.43@@17.46913667572492,64.57 ± 0.72 / 58.14 ± 0.78@@64.56920025875965,63.97 ± 0.75 / 16.61 ± 0.72@@63.96641145052854,18.37 ± 1.11 / 38.12 ± 0.84@@18.372103427535315,12.03 ± 1.34 / 32.38 ± 1.01@@12.030409879155705,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Base'>tiiuae/Falcon3-10B-Base (few-shot)</a>,🧠,2.49@@2.49,10305653760.0,131072.0,32768.0,✓,✗,75.15 ± 1.45 / 74.31 ± 1.24@@75.14864302788727,52.64 ± 2.30 / 38.66 ± 3.80@@52.64167409587037,18.76 ± 1.99 / 54.72 ± 3.39@@18.76308207055309,63.07 ± 0.75 / 56.82 ± 0.95@@63.070357322629945,64.26 ± 0.39 / 18.69 ± 0.34@@64.26061886755633,26.43 ± 1.69 / 44.41 ± 1.36@@26.43138366806155,14.75 ± 1.98 / 35.03 ± 1.69@@14.74692094686886,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf (few-shot)</a>,🧠,2.49@@2.49,13015866880.0,32000.0,4096.0,✓,✗,78.92 ± 1.24 / 79.67 ± 0.90@@78.9221151536857,58.34 ± 3.19 / 49.74 ± 4.36@@58.34063870307623,18.46 ± 3.98 / 47.37 ± 4.68@@18.45845917668017,65.21 ± 0.68 / 59.81 ± 0.94@@65.2056996691959,64.83 ± 0.35 / 18.80 ± 0.52@@64.82529460467049,19.15 ± 1.11 / 39.32 ± 0.76@@19.15394991215406,6.36 ± 2.04 / 28.90 ± 1.41@@6.362050048539872,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400
<a href='https://huggingface.co/ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit'>ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot)</a>,📝,2.49@@2.49,7241748480.0,32002.0,32768.0,✗,✗,77.98 ± 1.01 / 72.79 ± 2.47@@77.98209341894975,44.64 ± 1.66 / 31.30 ± 2.96@@44.63922429593276,16.57 ± 2.58 / 51.86 ± 3.69@@16.568706279813483,63.73 ± 1.04 / 57.31 ± 0.92@@63.73139734256074,63.23 ± 0.35 / 15.35 ± 0.57@@63.227997913345455,28.15 ± 0.90 / 45.69 ± 0.72@@28.152048083722153,23.58 ± 1.41 / 42.30 ± 1.04@@23.582671251855974,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,12.4.0@@120400,12.4.0@@120400,11.0.0@@110000,11.0.0@@110000
<a href='https://huggingface.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B (few-shot)</a>,🤔,2.50@@2.50,2031739904.0,151936.0,40960.0,✓,✗,71.76 ± 0.93 / 65.30 ± 1.49@@71.7633318094604,31.17 ± 1.28 / 25.90 ± 1.23@@31.168185731363973,27.48 ± 1.07 / 63.69 ± 0.53@@27.484166871089805,57.47 ± 0.60 / 48.53 ± 0.51@@57.47371283768605,64.83 ± 0.10 / 14.72 ± 0.24@@64.83072049173643,46.95 ± 0.76 / 60.12 ± 0.56@@46.951958741760556,20.96 ± 4.76 / 40.00 ± 3.42@@20.96322706232642,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf (few-shot)</a>,📝,2.50@@2.50,3880099328.0,,131072.0,✓,✗,73.93 ± 1.74 / 73.10 ± 1.28@@73.93454552771172,51.08 ± 1.87 / 35.59 ± 3.42@@51.08194410662452,24.26 ± 3.17 / 49.84 ± 2.95@@24.260711348013494,56.52 ± 0.60 / 46.46 ± 1.01@@56.517191871168976,64.62 ± 0.18 / 15.18 ± 0.28@@64.62178366826265,25.97 ± 1.74 / 41.45 ± 1.57@@25.97065649835087,21.11 ± 1.58 / 39.48 ± 1.49@@21.108194517069077,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B (few-shot)</a>,🧠,2.51@@2.51,13716198400.0,100352.0,4096.0,✓,✗,79.09 ± 1.05 / 74.67 ± 2.62@@79.09382273352537,53.50 ± 2.54 / 41.03 ± 4.75@@53.49828335079998,11.89 ± 2.82 / 46.76 ± 4.16@@11.893218094555474,64.13 ± 0.49 / 57.94 ± 0.54@@64.12754835085858,64.19 ± 0.27 / 18.63 ± 0.34@@64.19119964819402,25.71 ± 0.92 / 42.65 ± 0.86@@25.70977964428603,12.11 ± 2.22 / 32.79 ± 1.96@@12.111048193877432,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2-instruct'>timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot)</a>,📝,2.52@@2.52,7241732096.0,32000.0,32768.0,✓,✗,77.06 ± 1.82 / 79.02 ± 1.37@@77.064971244647,46.74 ± 4.30 / 33.57 ± 4.51@@46.73653761230197,14.00 ± 1.59 / 53.89 ± 3.10@@14.002537573191947,63.45 ± 0.49 / 56.74 ± 0.52@@63.44935301027273,62.56 ± 0.85 / 15.85 ± 0.34@@62.56195974034199,30.87 ± 1.35 / 47.77 ± 1.01@@30.8718791840452,15.79 ± 1.57 / 35.66 ± 0.84@@15.792988194178731,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.4.0@@120400,12.4.0@@120400,12.3.2@@120302,12.3.2@@120302
<a href='https://huggingface.co/danish-foundation-models/munin-7b-alpha'>danish-foundation-models/munin-7b-alpha (few-shot)</a>,🧠,2.53@@2.53,7241732096.0,32000.0,32768.0,✓,✗,78.80 ± 0.93 / 75.28 ± 1.78@@78.79583984801806,42.23 ± 2.44 / 30.30 ± 4.71@@42.23427355355748,15.47 ± 1.79 / 54.26 ± 3.41@@15.474572700377232,62.43 ± 0.95 / 56.75 ± 1.15@@62.43472108291492,62.78 ± 0.76 / 16.74 ± 0.45@@62.77630106327706,30.86 ± 1.12 / 47.83 ± 0.93@@30.86039546585544,19.11 ± 2.74 / 38.55 ± 2.29@@19.105372624552768,12.4.0@@120400,12.5.2@@120502,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct (few-shot)</a>,📝,2.54@@2.54,8414105600.0,131072.0,8192.0,✓,✗,78.68 ± 0.89 / 78.07 ± 0.97@@78.6785890526025,48.51 ± 1.91 / 24.61 ± 1.44@@48.514007550454444,29.18 ± 2.29 / 63.69 ± 1.55@@29.17973094396271,16.78 ± 0.35 / 0.00 ± 0.00@@16.784517862315344,65.35 ± 0.08 / 15.76 ± 0.11@@65.34792686405126,40.16 ± 1.01 / 55.00 ± 0.75@@40.16407035121718,39.81 ± 2.46 / 53.79 ± 2.03@@39.81398224066749,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3 (few-shot)</a>,🧠,2.56@@2.56,7248023552.0,32768.0,32768.0,✓,✗,79.12 ± 0.78 / 78.40 ± 1.38@@79.11787203507815,47.70 ± 2.39 / 38.32 ± 4.69@@47.69715441138193,10.45 ± 3.16 / 38.35 ± 2.60@@10.445169682175463,64.32 ± 0.72 / 58.52 ± 0.85@@64.32435325779726,64.72 ± 0.34 / 19.02 ± 0.44@@64.72444622049807,26.15 ± 1.60 / 43.37 ± 1.40@@26.153451544557328,10.27 ± 1.87 / 31.35 ± 1.04@@10.273016369274623,15.0.0@@150000,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1 (few-shot)</a>,🧠,2.58@@2.58,7241732096.0,32000.0,4096.0,✓,✗,79.14 ± 0.60 / 78.45 ± 1.44@@79.1393931637802,49.40 ± 1.76 / 35.98 ± 4.14@@49.39763328942854,4.65 ± 3.43 / 35.06 ± 1.80@@4.64564721296779,64.46 ± 0.62 / 58.74 ± 0.89@@64.46136249763295,64.90 ± 0.23 / 19.08 ± 0.33@@64.90337079303572,28.13 ± 1.67 / 45.54 ± 1.29@@28.128338234172624,8.26 ± 1.84 / 30.20 ± 1.18@@8.255051976867724,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base (few-shot)</a>,🧠,2.59@@2.59,33715603456.0,49152.0,8192.0,✓,✗,74.55 ± 0.51 / 63.00 ± 0.81@@74.54516048036908,58.21 ± 2.55 / 55.30 ± 2.80@@58.20653643388689,18.11 ± 2.20 / 49.39 ± 2.93@@18.110626420167463,58.63 ± 1.43 / 52.83 ± 2.42@@58.62764929009654,63.42 ± 0.67 / 17.99 ± 0.48@@63.42043262993684,15.27 ± 1.22 / 36.29 ± 0.81@@15.267080527896479,12.81 ± 0.69 / 34.24 ± 0.54@@12.809882707782199,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/RuterNorway/Llama-2-13b-chat-norwegian'>RuterNorway/Llama-2-13b-chat-norwegian (few-shot)</a>,📝,2.59@@2.59,13015866880.0,32000.0,4096.0,✗,✗,78.50 ± 0.98 / 78.79 ± 1.48@@78.50372152954563,51.36 ± 3.18 / 39.41 ± 3.90@@51.35542586728556,9.00 ± 2.23 / 41.97 ± 3.43@@8.99587056034699,63.88 ± 0.65 / 57.76 ± 0.73@@63.879092989589765,65.29 ± 0.25 / 18.96 ± 0.26@@65.28603106969967,17.73 ± 1.41 / 37.21 ± 1.14@@17.730263637353342,12.78 ± 1.67 / 33.95 ± 1.30@@12.776198916978196,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B (few-shot)</a>,🧠,2.59@@2.59,3212749824.0,128256.0,131073.0,✓,✗,77.76 ± 1.09 / 67.88 ± 3.15@@77.75940024665256,51.06 ± 2.85 / 31.63 ± 3.67@@51.062202157359316,5.88 ± 3.89 / 38.51 ± 4.84@@5.876968582231554,62.93 ± 0.94 / 57.43 ± 1.04@@62.93218757440478,62.73 ± 0.74 / 17.61 ± 0.49@@62.7256625177688,27.05 ± 1.14 / 44.68 ± 0.87@@27.047952979729967,13.30 ± 1.20 / 33.89 ± 1.04@@13.301217440218648,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/google/gemma-2-2b-it'>google/gemma-2-2b-it (few-shot)</a>,📝,2.60@@2.60,2614341888.0,256000.0,8192.0,✓,✗,76.35 ± 0.86 / 76.63 ± 0.95@@76.35314907985942,35.28 ± 2.39 / 26.54 ± 1.99@@35.27580835163482,15.28 ± 2.02 / 56.62 ± 1.31@@15.275354085335044,61.19 ± 0.52 / 52.69 ± 0.83@@61.186602744834566,63.03 ± 0.50 / 12.94 ± 2.06@@63.03435972164152,22.51 ± 0.88 / 41.57 ± 0.69@@22.51190204942292,29.22 ± 0.98 / 46.62 ± 0.74@@29.21647235060477,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1@@150401
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (few-shot)</a>,📝,2.61@@2.61,3212749824.0,128256.0,131072.0,✓,✗,74.43 ± 0.59 / 64.00 ± 1.08@@74.4347641260253,35.81 ± 2.23 / 23.69 ± 1.39@@35.81418100134228,20.60 ± 1.30 / 57.17 ± 0.89@@20.597979607182353,59.32 ± 0.39 / 52.12 ± 0.45@@59.320990160345204,65.62 ± 0.08 / 17.45 ± 0.12@@65.62166956515284,23.02 ± 0.96 / 42.09 ± 0.79@@23.02192931033958,20.32 ± 1.54 / 39.95 ± 1.13@@20.32308187200777,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot)</a>,🧠,2.62@@2.62,8030261248.0,128256.0,131072.0,✓,✗,76.57 ± 0.92 / 76.28 ± 1.76@@76.56796699222878,33.21 ± 2.39 / 32.18 ± 2.40@@33.20519786611162,10.51 ± 3.79 / 49.04 ± 4.63@@10.509698942539181,63.06 ± 0.85 / 58.15 ± 1.06@@63.06299141320797,63.82 ± 0.35 / 18.33 ± 0.43@@63.82483463537938,26.73 ± 0.72 / 44.29 ± 0.56@@26.729028683615834,21.33 ± 4.54 / 37.89 ± 3.66@@21.33041519834567,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B (few-shot)</a>,📝,2.62@@2.62,14167290880.0,152064.0,32768.0,✓,✗,77.20 ± 0.69 / 71.98 ± 0.76@@77.19938934200992,53.02 ± 1.13 / 30.41 ± 3.06@@53.015860036786854,26.82 ± 2.27 / 55.80 ± 2.33@@26.824782104261402,16.25 ± 0.12 / 0.00 ± 0.00@@16.25106904534463,64.66 ± 0.16 / 15.57 ± 0.28@@64.66272033037967,37.43 ± 1.07 / 52.83 ± 0.81@@37.43194089648665,32.16 ± 1.56 / 48.25 ± 1.18@@32.16483806013375,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.62@@2.62,8170835968.0,49152.0,4096.0,✓,✗,76.52 ± 1.51 / 76.53 ± 1.34@@76.5210123932022,40.83 ± 2.22 / 32.34 ± 2.54@@40.83473087271619,19.92 ± 3.27 / 54.29 ± 4.74@@19.92491613290945,62.35 ± 0.75 / 57.20 ± 1.10@@62.34623833008967,62.98 ± 1.59 / 17.64 ± 0.72@@62.976328990480404,21.00 ± 0.82 / 40.39 ± 0.66@@21.00333652914559,14.38 ± 1.97 / 35.28 ± 1.48@@14.375849341569557,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B (few-shot)</a>,🧠,2.63@@2.63,6061035520.0,64000.0,4097.0,✓,✗,70.71 ± 1.99 / 71.19 ± 1.14@@70.71054040210211,45.55 ± 2.18 / 26.78 ± 3.65@@45.54729996712219,4.83 ± 3.48 / 36.64 ± 2.95@@4.827426758776081,61.21 ± 0.89 / 55.25 ± 1.21@@61.206438335909866,63.18 ± 0.45 / 17.62 ± 0.51@@63.179958427354,26.05 ± 0.80 / 44.56 ± 0.62@@26.045872460743507,27.09 ± 1.66 / 44.95 ± 1.30@@27.08627632550754,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/tiiuae/falcon-11B'>tiiuae/falcon-11B (few-shot)</a>,📝,2.64@@2.64,11102822400.0,65024.0,8192.0,✓,✗,76.01 ± 0.73 / 70.14 ± 1.10@@76.01401914308961,52.64 ± 2.19 / 40.01 ± 4.02@@52.64467392447696,21.55 ± 4.94 / 44.37 ± 4.47@@21.546304375424576,37.07 ± 8.01 / 25.86 ± 9.26@@37.06551010740117,64.41 ± 0.42 / 16.06 ± 0.59@@64.4124412117526,24.39 ± 1.28 / 42.75 ± 0.87@@24.386223431233827,20.84 ± 1.40 / 39.73 ± 1.04@@20.839666045568688,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct (few-shot)</a>,📝,2.64@@2.64,33715603456.0,49152.0,8192.0,✓,✗,73.95 ± 0.82 / 63.91 ± 1.29@@73.94851826883738,58.00 ± 1.77 / 51.16 ± 3.14@@58.00010950295569,18.86 ± 2.21 / 56.63 ± 3.82@@18.863943701435197,57.38 ± 0.61 / 50.61 ± 0.65@@57.38035362292082,62.52 ± 0.16 / 15.79 ± 0.23@@62.51607275800779,12.61 ± 1.34 / 31.80 ± 1.06@@12.60704194318707,9.44 ± 1.24 / 29.97 ± 0.67@@9.436176998536624,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/neph1/bellman-7b-mistral-instruct-v0.2'>neph1/bellman-7b-mistral-instruct-v0.2 (few-shot)</a>,📝,2.66@@2.66,7241732096.0,32000.0,32768.0,✗,✗,55.84 ± 2.51 / 66.96 ± 1.37@@55.835564115339785,54.38 ± 2.92 / 39.66 ± 5.20@@54.37847740511972,16.05 ± 2.15 / 54.22 ± 2.86@@16.045096843583032,61.85 ± 0.63 / 53.22 ± 0.88@@61.85457384998438,64.90 ± 0.14 / 16.99 ± 0.20@@64.90058335562935,22.36 ± 1.17 / 41.14 ± 0.78@@22.364028849787786,12.52 ± 1.41 / 33.90 ± 1.11@@12.519829646654184,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400,12.4.0@@120400,9.2.0@@90200,9.2.0@@90200
<a href='https://huggingface.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf (few-shot)</a>,📝,2.66@@2.66,68976653312.0,32000.0,4096.0,✓,✗,76.25 ± 1.18 / 73.00 ± 2.45@@76.2542086987964,43.22 ± 1.31 / 23.27 ± 0.84@@43.22452903276259,22.48 ± 3.05 / 53.75 ± 4.52@@22.477484879598123,62.19 ± 0.51 / 49.79 ± 0.77@@62.191188093017615,65.06 ± 0.18 / 13.69 ± 0.56@@65.06046559981769,15.30 ± 2.77 / 33.28 ± 2.21@@15.304493454742174,1.65 ± 1.87 / 25.03 ± 0.64@@1.6470489647372453,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
